# name,x,y,z,yaw,pitch,roll
DJI_0000.JPG,257593.9735,3915638.9460,233.1020,85.2518,-52.0382,0.0000
DJI_0001.JPG,257590.8610,3915622.6442,236.8501,40.9219,-39.7368,0.0000
DJI_0002.JPG,257617.7624,3915648.7560,234.8173,233.4770,-48.8865,0.0000
DJI_0003.JPG,257618.0488,3915660.5146,239.4793,210.6587,-42.1393,0.0000
DJI_0004.JPG,257613.0194,3915571.2471,238.5941,335.3270,-34.2157,0.0000
DJI_0005.JPG,257620.4969,3915604.0798,245.9502,236.7548,-48.4840,0.0000
DJI_0006.JPG,257588.7313,3915611.0562,243.8316,141.8138,-42.3905,0.0000
DJI_0007.JPG,257592.1830,3915607.7514,242.0705,143.8762,-46.3873,0.0000
DJI_0008.JPG,257596.8030,3915514.1398,256.2153,74.0790,-53.5270,0.0000
DJI_0009.JPG,257641.2790,3915512.8777,245.0115,284.3703,-29.6228,0.0000
DJI_0010.JPG,257601.4481,3915523.7344,243.4942,106.8328,-42.7854,0.0000
DJI_0011.JPG,257609.2878,3915501.0511,251.7958,18.6777,-48.3965,0.0000
DJI_0012.JPG,257616.3021,3915477.9734,243.3197,71.3339,-42.8556,0.0000
DJI_0013.JPG,257637.5966,3915499.2038,235.3224,189.9900,-34.1570,0.0000
DJI_0014.JPG,257620.7584,3915494.3349,240.9481,125.2871,-42.4230,0.0000
DJI_0015.JPG,257652.6888,3915472.6996,250.5563,303.1615,-50.3202,0.0000
DJI_0016.JPG,257691.1527,3915519.0258,241.6483,205.7586,-37.5366,0.0000
DJI_0017.JPG,257670.5913,3915482.2910,244.1209,31.7278,-33.0687,0.0000
DJI_0018.JPG,257655.7443,3915502.1148,245.7696,87.8027,-32.4119,0.0000
DJI_0019.JPG,257676.7066,3915514.7054,243.0155,149.4593,-48.0447,0.0000
DJI_0020.JPG,257707.7074,3915502.4161,250.9542,62.6081,-51.0349,0.0000
DJI_0021.JPG,257702.0005,3915508.5959,253.1186,85.2361,-48.0741,0.0000
DJI_0022.JPG,257722.4455,3915529.1591,253.3157,178.2720,-51.5176,0.0000
DJI_0023.JPG,257722.8234,3915484.0749,250.3228,0.4134,-38.2110,0.0000
